model,acc_mean,acc_std,macro_f1_mean,macro_f1_std,noise,level,denoise
SVM_RBF,0.7209006274526688,0.005441303009490777,0.7214798317199076,0.005199734045429215,hum,0.6,none
RF,0.8839841914357642,0.005418730184001464,0.8839139176760493,0.0053860912479921225,hum,0.6,none
LDA,0.36102378384803835,0.0061917730511484095,0.35973680865984103,0.0060064788745725385,hum,0.6,notch
SVM_RBF,0.7204635771991839,0.005255800721655393,0.721081466143548,0.005001560015464457,hum,0.6,notch
RF,0.8991450397264312,0.004047128713350594,0.8991973798372411,0.004033630718454664,hum,0.6,notch
LDA,0.2829241247195517,0.006492144463888897,0.2800781114135102,0.006639969401008205,hum,0.6,wavelet
SVM_RBF,0.5244898278987071,0.008617688182788135,0.5247709700852266,0.008548074973341997,hum,0.6,wavelet
RF,0.6301257050685539,0.009718581325753565,0.6302561759375311,0.009421664568619639,hum,0.6,wavelet
LDA,0.3379680444662321,0.006277892403660165,0.33681299253378355,0.006293870156639753,hum,0.6,kalman
SVM_RBF,0.7169943072916342,0.005359102155213713,0.7176793448260284,0.005123389075795177,hum,0.6,kalman
RF,0.7937280365355341,0.006542755743022474,0.793946679822561,0.006484256581231914,hum,0.6,kalman
LDA,0.3281615290934719,0.006323430350486099,0.3254348283608566,0.0058566453495811814,hum,0.6,pca
SVM_RBF,0.6571694706486759,0.005915470530438622,0.6584380252683724,0.005651487422368017,hum,0.6,pca
RF,0.8628406098742488,0.005177400989168038,0.8630823915595285,0.005080266085641944,hum,0.6,pca
LDA,0.34758367985053157,0.0060684743951471614,0.34602609144433877,0.006236306042280779,hum,1.0,none
SVM_RBF,0.7153551906839224,0.003806167935887608,0.7159679962899757,0.003575654886837966,hum,1.0,none
RF,0.8649167207698507,0.00530747004515454,0.8648582704567724,0.005330760916257871,hum,1.0,none
LDA,0.3528011283857832,0.006667163584036029,0.3511254521584352,0.0067400845501731374,hum,1.0,notch
SVM_RBF,0.7162566658287995,0.00396744582201638,0.7169386404952218,0.0037097316489012612,hum,1.0,notch
RF,0.8861968807687702,0.005461942449765922,0.8861948608388067,0.005494510203807004,hum,1.0,notch
LDA,0.2851368364387958,0.007337050130194472,0.28187597222870076,0.007197303532952158,hum,1.0,wavelet
SVM_RBF,0.5152020053890392,0.007746220284583597,0.5155545674060458,0.007707463801277606,hum,1.0,wavelet
RF,0.6220671369990375,0.011071575187155526,0.622177633399564,0.010659687381432845,hum,1.0,wavelet
LDA,0.3328869505060055,0.006920340128005116,0.3312674989781985,0.007105290497178396,hum,1.0,kalman
SVM_RBF,0.7078976781777573,0.005876980551228253,0.7087719532325473,0.005466529885230878,hum,1.0,kalman
RF,0.7887289993303157,0.0043138570291006454,0.7889459562212752,0.004173111958304037,hum,1.0,kalman
LDA,0.3402080188921938,0.006290611257132584,0.3385561446309845,0.005873095533619694,hum,1.0,pca
SVM_RBF,0.6679870903043301,0.004026744602945138,0.6690069839818295,0.0037887409158214613,hum,1.0,pca
RF,0.8797772949895382,0.004215803315886898,0.879980584571195,0.0042160217784008745,hum,1.0,pca
LDA,0.36979245084569795,0.006110049064896356,0.368528339923451,0.006209788668173261,drift,0.1,none
SVM_RBF,0.7258176489443153,0.0040703771226040415,0.7266414629136958,0.003896257684681325,drift,0.1,none
RF,0.917638930204971,0.005282965525956313,0.9175331664171278,0.005284342663250776,drift,0.1,none
LDA,0.36528497811428107,0.00696042696869812,0.36409961861523554,0.0066917135047313975,drift,0.1,notch
SVM_RBF,0.7244244862013283,0.005076350624475024,0.7252668812192482,0.004901723467310057,drift,0.1,notch
RF,0.9131862925632805,0.005726114969482261,0.9130748256322432,0.00570776476683774,drift,0.1,notch
LDA,0.28592910778417624,0.0074529003211327915,0.28268875264531446,0.007778004993037702,drift,0.1,wavelet
SVM_RBF,0.5421367425285278,0.00557740050612639,0.5418917668501564,0.005330938948594188,drift,0.1,wavelet
RF,0.6508592864140421,0.006176680415602441,0.6511875667429029,0.005950589335564448,drift,0.1,wavelet
